"","Account.Number","Organization","City","City.Location","Country","CDP.Region","Country.Name","Country.Code.2","Country.Code.3","Country.Numeric.code","lat","long","Location.Source"
"18",50665,"Município de Ovar","Ovar","POINT (-8.59723 40.8901)","Portugal","Europe","Portugal","PT","PRT",620,40.8901,-8.59723,"CDP Disclosure"
"19",60268,"Prefeitura de Brumadinho","Brumadinho","POINT (-44.1982 -20.1427)","Brazil","Latin America","Brazil","BR","BRA",76,-20.1427,-44.1982,"CDP Disclosure"
"20",59535,"Town of Vail, CO","Vail","POINT (-106.374 39.6403)","United States of America","North America","United States Of America","US","USA",840,39.6403,-106.374,"CDP Disclosure"
"21",35449,"Stadt Zürich","Zürich","POINT (8.53918 47.3686)","Switzerland","Europe","Switzerland","CH","CHE",756,47.3686,8.53918,"CDP Disclosure"
"22",59572,"District of Saanich, BC","Saanich","POINT (123.378 48.4594)","Canada","North America","Canada","CA","CAN",124,48.5142,-123.3839,"World Cities dataset"
"23",54354,"City Government of Makati","Makati","POINT (121.024 14.5547)","Philippines","Southeast Asia and Oceania","Philippines","PH","PHL",608,14.5547,121.024,"CDP Disclosure"
"24",54517,"City Örebro","Örebro","POINT (15.2066 59.2741)","Sweden","Europe","Sweden","SE","SWE",752,59.2741,15.2066,"CDP Disclosure"
"25",37261,"City of Pietermaritzburg","Pietermaritzburg","POINT (30.3794 -29.6006)","South Africa","Africa","South Africa","ZA","ZAF",710,-29.6006,30.3794,"CDP Disclosure"
"26",31185,"City of Warsaw","Warsaw","POINT (21.0122 52.2297)","Poland","Europe","Poland","PL","POL",616,52.2297,21.0122,"CDP Disclosure"
"27",61427,"Municipality of Nacala","Nacala","POINT (40.6854 -14.5656)","Mozambique","Africa","Mozambique","MZ","MOZ",508,-14.5656,40.6854,"CDP Disclosure"
"28",53959,"City of Fayetteville, AR","Fayetteville","POINT (-94.1719 36.0821)","United States of America","North America","United States Of America","US","USA",840,36.0821,-94.1719,"CDP Disclosure"
"29",35274,"City of Portland, ME","Portland, ME","POINT (-70.2553 43.6615)","United States of America","North America","United States Of America","US","USA",840,43.6615,-70.2553,"CDP Disclosure"
"30",60340,"Prefeitura de Rio Verde","Rio Verde","POINT (-50.4892 -17.9685)","Brazil","Latin America","Brazil","BR","BRA",76,-17.9685,-50.4892,"CDP Disclosure"
"31",70261,"Alcaldia de Floridablanca","Floridablanca","POINT (-73.0979 7.07001)","Colombia","Latin America","Colombia","CO","COL",170,7.07001,-73.0979,"CDP Disclosure"
"32",831617,"Commune de Bouaké","Bouaké","POINT (-5.0149 7.4137)","Côte d'Ivoire","Africa","Côte d'Ivoire","CI","CIV",384,7.4137,-5.0149,"CDP Disclosure"
"33",58543,"Byron Shire Council","Byron Shire","POINT (153.533 -28.6534)","Australia","Southeast Asia and Oceania","Australia","AU","AUS",36,-28.6534,153.533,"CDP Disclosure"
"34",58795,"Blantyre City Council","Blantyre","POINT (35.0378 -15.8028)","Malawi","Africa","Malawi","MW","MWI",454,-15.8028,35.0378,"CDP Disclosure"
"35",43907,"City of Indianapolis","Indianapolis","POINT (-86.1785 39.7676)","United States of America","North America","United States Of America","US","USA",840,39.7676,-86.1785,"CDP Disclosure"
"36",54277,"New Plymouth District Council","New Plymouth District","POINT (174.354 -39.1011)","New Zealand","Southeast Asia and Oceania","New Zealand","NZ","NZL",554,-39.1011,174.354,"CDP Disclosure"
"37",31154,"Bogotá Distrito Capital","Bogotá","POINT (-74.0721 4.711)","Colombia","Latin America","Colombia","CO","COL",170,4.711,-74.0721,"CDP Disclosure"
"38",35858,"City of Cape Town","Cape Town","POINT (18.4239 -33.9253)","South Africa","Africa","South Africa","ZA","ZAF",710,-33.9253,18.4239,"CDP Disclosure"
"39",50550,"City of Buffalo","Buffalo, NY","POINT (-78.8784 42.8864)","United States of America","North America","United States Of America","US","USA",840,42.8864,-78.8784,"CDP Disclosure"
"40",74440,"City of Davenport","Davenport","POINT (90.5776 41.5236)","United States of America","North America","United States Of America","US","USA",840,NA,NA,NA
"41",831962,"Município de Montalegre","Montalegre","POINT (-7.7879 41.8266)","Portugal","Europe","Portugal","PT","PRT",620,41.8266,-7.7879,"CDP Disclosure"
"42",49334,"City of Richmond, VA","Richmond, VA","POINT (-77.436 37.5407)","United States of America","North America","United States Of America","US","USA",840,37.5407,-77.436,"CDP Disclosure"
"43",62814,"Municipalidad de Pica","Pica","POINT (-69.3305 -20.4895)","Chile","Latin America","Chile","CL","CHL",152,-20.4895,-69.3305,"CDP Disclosure"
"44",43917,"Sofia Municipality","Sofia","POINT (23.3219 42.6977)","Bulgaria","Europe","Bulgaria","BG","BGR",100,42.6977,23.3219,"CDP Disclosure"
"45",36154,"Vilnius City Municipality","Vilnius","POINT (25.2797 54.6872)","Lithuania","Europe","Lithuania","LT","LTU",440,54.6872,25.2797,"CDP Disclosure"
"46",50378,"Municipalidad de San José","San José","POINT (9.9326 -84.0796)","Costa Rica","Latin America","Costa Rica","CR","CRI",188,9.9281,-84.0907,"World Cities dataset"
"47",50385,"Prefeitura de Campo Grande","Campo Grande","POINT (-37.7142 -7.10801)","Brazil","Latin America","Brazil","BR","BRA",76,-7.10801,-37.7142,"CDP Disclosure"
"48",50558,"City of London, ON","London, ON","POINT (-81.2497 42.9837)","Canada","North America","Canada","CA","CAN",124,42.9837,-81.2497,"CDP Disclosure"
"49",31009,"City of Copenhagen","Copenhagen","POINT (12.5683 55.6761)","Denmark","Europe","Denmark","DK","DNK",208,55.6761,12.5683,"CDP Disclosure"
"50",60599,"Town of Bridgewater, NS","Bridgewater","POINT (-64.5188 44.3786)","Canada","North America","Canada","CA","CAN",124,44.3786,-64.5188,"CDP Disclosure"
"51",74495,"City of East Lansing, MI","East Lansing","POINT (-84.4805 42.7347)","United States of America","North America","United States Of America","US","USA",840,42.7347,-84.4805,"CDP Disclosure"
"52",50679,"Município de Barreiro","Barreiro","POINT (-9.07907 38.6608)","Portugal","Europe","Portugal","PT","PRT",620,38.6608,-9.07907,"CDP Disclosure"
"53",54444,"Mülheim an der Ruhr","Mülheim a.d.R","POINT (6.88452 51.4186)","Germany","Europe","Germany","DE","DEU",276,51.4186,6.88452,"CDP Disclosure"
"54",31153,"City of Berlin","Berlin","POINT (13.405 52.52)","Germany","Europe","Germany","DE","DEU",276,52.52,13.405,"CDP Disclosure"
"55",54108,"City of Durham","Durham, NC","POINT (-78.8986 35.994)","United States of America","North America","United States Of America","US","USA",840,35.994,-78.8986,"CDP Disclosure"
"56",50551,"City of Long Beach","Long Beach","POINT (-118.194 33.7701)","United States of America","North America","United States Of America","US","USA",840,33.7701,-118.194,"CDP Disclosure"
"57",52638,"Prefeitura de Aracaju","Aracaju","POINT (-37.0731 -10.9472)","Brazil","Latin America","Brazil","BR","BRA",76,-10.9472,-37.0731,"CDP Disclosure"
"58",35880,"Municipality of Porto Alegre","Porto Alegre","POINT (51 30)","Brazil","Latin America","Brazil","BR","BRA",76,-30.0328,-51.23,"World Cities dataset"
"59",20113,"City of Vancouver","Vancouver","POINT (-123.114 49.2612)","Canada","North America","Canada","CA","CAN",124,49.2612,-123.114,"CDP Disclosure"
"60",31055,"Glasgow City Council","Glasgow","POINT (-4.21278 55.8593)","United Kingdom of Great Britain and Northern Ireland","Europe","United Kingdom","GB","GBR",826,55.8593,-4.21278,"CDP Disclosure"
"61",60223,"Panevežys City Municipality","Panevežys","POINT (24.35 55.7333)","Lithuania","Europe","Lithuania","LT","LTU",440,55.7333,24.35,"CDP Disclosure"
"62",51374,"Prefeitura de Rio Branco","Rio Branco","POINT (-40.3776 -20.3338)","Brazil","Latin America","Brazil","BR","BRA",76,-20.3338,-40.3776,"CDP Disclosure"
"63",55371,"Municipalidad de Vicente López","Vicente López","POINT (-68.833 -32.8941)","Argentina","Latin America","Argentina","AR","ARG",32,-32.8941,-68.833,"CDP Disclosure"
"64",69834,"Municipalidad de General Alvear (Mendoza)","General Alvear, Buenos Aires","POINT (-67.6955 -34.978)","Argentina","Latin America","Argentina","AR","ARG",32,-34.978,-67.6955,"CDP Disclosure"
"65",60229,"Municipality of Arendal","Arendal","POINT (8.77245 58.4618)","Norway","Europe","Norway","NO","NOR",578,58.4618,8.77245,"CDP Disclosure"
"66",60407,"Municipalidad de Colina","Colina","POINT (-70.684 -33.2043)","Chile","Latin America","Chile","CL","CHL",152,-33.2043,-70.684,"CDP Disclosure"
"67",54113,"City of Flagstaff","Flagstaff","POINT (-111.631 35.1992)","United States of America","North America","United States Of America","US","USA",840,35.1992,-111.631,"CDP Disclosure"
"68",73293,"City of LaGrange, MO","LaGrange","POINT (-91.4976 40.0428)","United States of America","North America","United States Of America","US","USA",840,40.0428,-91.4976,"CDP Disclosure"
"69",826431,"Município de Loulé","Loulé","POINT (-8.01968 37.1377)","Portugal","Europe","Portugal","PT","PRT",620,37.1377,-8.01968,"CDP Disclosure"
"70",74423,"City of Key West, FL","Key West","POINT (24.5551 81.78)","United States of America","North America","United States Of America","US","USA",840,24.5637,-81.7768,"World Cities dataset"
"71",54084,"City of Guelph","Guelph","POINT (80.25 43.55)","Canada","North America","Canada","CA","CAN",124,43.55,-80.25,"World Cities dataset"
"72",54559,"Ugu District Municipality","Ugu","POINT (30.2513 -30.6218)","South Africa","Africa","South Africa","ZA","ZAF",710,-30.6218,30.2513,"CDP Disclosure"
"73",58461,"Stara Zagora","Stara Zagora","POINT (25.6345 42.4258)","Bulgaria","Europe","Bulgaria","BG","BGR",100,42.4258,25.6345,"CDP Disclosure"
"74",36261,"Comune di Bolzano","Bolzano","POINT (11.3566 46.4997)","Italy","Europe","Italy","IT","ITA",380,46.4997,11.3566,"CDP Disclosure"
"75",54291,"Chengdu Municipal Government","Chengdu","POINT (104.076 30.6719)","China","East Asia","China","CN","CHN",156,30.6719,104.076,"CDP Disclosure"
"76",50386,"Prefeitura de Cuiabá","Cuiabá","POINT (-52.2663 -15.882)","Brazil","Latin America","Brazil","BR","BRA",76,-15.882,-52.2663,"CDP Disclosure"
"77",50544,"City of Aurora, IL","Aurora","POINT (41.7606 88.3201)","United States of America","North America","United States Of America","US","USA",840,40.7682,-74.2348,"World Cities dataset"
"78",31163,"Istanbul Metropolitan Municipality","Istanbul","POINT (28.9784 41.0082)","Turkey","Europe","Turkey","TR","TUR",792,41.0082,28.9784,"CDP Disclosure"
"79",50364,"Municipalidad de La Paz","La Paz (Bolivia)","POINT (-68.15 -16.5)","Bolivia (Plurinational State of)","Latin America","Bolivia","BO","BOL",68,-16.5,-68.15,"CDP Disclosure"
"80",55801,"City of West Palm Beach","West Palm Beach","POINT (-80.0534 26.7153)","United States of America","North America","United States Of America","US","USA",840,26.7153,-80.0534,"CDP Disclosure"
"81",49787,"City of Benicia","Benicia","POINT (-122.159 38.0494)","United States of America","North America","United States Of America","US","USA",840,38.0494,-122.159,"CDP Disclosure"
"82",50559,"City of St Catharines, ON","St Catharines","POINT (-79.2469 43.1594)","Canada","North America","Canada","CA","CAN",124,43.1594,-79.2469,"CDP Disclosure"
"83",55799,"Arlington, VA","Arlington","POINT (-76.0026 37.2265)","United States of America","North America","United States Of America","US","USA",840,37.2265,-76.0026,"CDP Disclosure"
"84",59536,"City of Kitchener","Kitchener","POINT (-80.561 43.42)","Canada","North America","Canada","CA","CAN",124,43.42,-80.561,"CDP Disclosure"
"85",54687,"Prefeitura Municipal de São José dos Campos","São José dos Campos","POINT (-45.8783 -23.1848)","Brazil","Latin America","Brazil","BR","BRA",76,-23.1848,-45.8783,"CDP Disclosure"
"86",55418,"City of Huntington Beach","Huntington Beach","POINT (-117.999 33.6603)","United States of America","North America","United States Of America","US","USA",840,33.6603,-117.999,"CDP Disclosure"
"87",50571,"City of Victoria","Victoria","POINT (-123.366 48.4284)","Canada","North America","Canada","CA","CAN",124,48.4284,-123.366,"CDP Disclosure"
"88",42123,"City of Goiânia","Goiânia","POINT (-49.2648 -16.6869)","Brazil","Latin America","Brazil","BR","BRA",76,-16.6869,-49.2648,"CDP Disclosure"
"89",55616,"Los Altos Hills","Los Altos Hills","POINT (-122.138 37.3797)","United States of America","North America","United States Of America","US","USA",840,37.3797,-122.138,"CDP Disclosure"
"90",35877,"City of Pittsburgh","Pittsburgh","POINT (-79.9959 40.4406)","United States of America","North America","United States Of America","US","USA",840,40.4406,-79.9959,"CDP Disclosure"
"91",36004,"City of Abidjan","Abidjan","POINT (-4.0083 5.36)","Côte d'Ivoire","Africa","Côte d'Ivoire","CI","CIV",384,5.36,-4.0083,"CDP Disclosure"
"92",50391,"Prefeitura de Manaus","Manaus","POINT (-60.0217 -3.11902)","Brazil","Latin America","Brazil","BR","BRA",76,-3.11902,-60.0217,"CDP Disclosure"
"93",73295,"City of La Crosse, WI","La Crosse","POINT (-91.2396 43.8014)","United States of America","North America","United States Of America","US","USA",840,43.8014,-91.2396,"CDP Disclosure"
"94",35393,"City of St Louis","St Louis","POINT (-90.1994 38.627)","United States of America","North America","United States Of America","US","USA",840,38.627,-90.1994,"CDP Disclosure"
"95",60206,"City of Jelgava","Jelgava","POINT (23.7214 56.6511)","Latvia","Europe","Latvia","LV","LVA",428,56.6511,23.7214,"CDP Disclosure"
"96",31051,"Coventry City Council","Coventry","POINT (-1.51217 52.4066)","United Kingdom of Great Britain and Northern Ireland","Europe","United Kingdom","GB","GBR",826,52.4066,-1.51217,"CDP Disclosure"
"97",73301,"City of Gretna, LA","Gretna","POINT (-90.0542 29.9164)","United States of America","North America","United States Of America","US","USA",840,29.9164,-90.0542,"CDP Disclosure"
"98",35907,"Bangalore","Bangalore","POINT (77.5946 12.9716)","India","South and West Asia","India","IN","IND",356,12.9716,77.5946,"CDP Disclosure"
"99",50220,"Métropole Nice Côte d'Azur","Nice","POINT (7.26195 43.7102)","France","Europe","France","FR","FRA",250,43.7102,7.26195,"CDP Disclosure"
"100",54608,"Alcaldia de Montería","Montería","POINT (-75.8814 8.74798)","Colombia","Latin America","Colombia","CO","COL",170,8.74798,-75.8814,"CDP Disclosure"
"101",36036,"City of Ibadan","Ibadan","POINT (3.94704 7.37753)","Nigeria","Africa","Nigeria","NG","NGA",566,7.37753,3.94704,"CDP Disclosure"
"102",50543,"Halifax Regional Municipality","Halifax","POINT (-63.5714 44.6478)","Canada","North America","Canada","CA","CAN",124,44.6478,-63.5714,"CDP Disclosure"
"103",55372,"Prefeitura Municipal de Canoas","Canoas","POINT (-51.1862 -29.9133)","Brazil","Latin America","Brazil","BR","BRA",76,-29.9133,-51.1862,"CDP Disclosure"
"104",74573,"Snoqualmie, WA","Snoqualmie","POINT (-121.844 47.53)","United States of America","North America","United States Of America","US","USA",840,47.53,-121.844,"CDP Disclosure"
"105",31148,"City of Amsterdam","Amsterdam","POINT (4.89516 52.3702)","Netherlands","Europe","Netherlands","NL","NLD",528,52.3702,4.89516,"CDP Disclosure"
"106",68383,"Prefeitura de Itatiba","Itatiba","POINT (-23 46.5)","Brazil","Latin America","Brazil","BR","BRA",76,-12.25,-38.97,"World Cities dataset"
"107",55800,"City of Cambridge","Cambridge, MA","POINT (-93.3273 45.601)","United States of America","North America","United States Of America","US","USA",840,45.601,-93.3273,"CDP Disclosure"
"108",59631,"City of San Leandro, CA","San Leandro","POINT (-122.156 37.7249)","United States of America","North America","United States Of America","US","USA",840,37.7249,-122.156,"CDP Disclosure"
"109",49367,"Freetown City","Freetown","POINT (-13.2317 8.4657)","Sierra Leone","Africa","Sierra Leone","SL","SLE",694,8.4657,-13.2317,"CDP Disclosure"
"110",31110,"Roma Capitale","Roma","POINT (12.2858 41.53)","Italy","Europe","Italy","IT","ITA",380,41.53,12.2858,"CDP Disclosure"
"111",54678,"Prefeitura Municipal de Porto Feliz","Porto Feliz","POINT (-47.5137 -23.2102)","Brazil","Latin America","Brazil","BR","BRA",76,-23.2102,-47.5137,"CDP Disclosure"
"112",54430,"Ville du Havre","Le Havre","POINT (0.1 49.49)","France","Europe","France","FR","FRA",250,49.49,0.1,"CDP Disclosure"
"113",60679,"Town of Surfside, FL","Surfside","POINT (-80.1233 25.8789)","United States of America","North America","United States Of America","US","USA",840,25.8789,-80.1233,"CDP Disclosure"
"114",59156,"City of Grand-Bassam","Grand-Bassam","POINT (-3.7537 5.2259)","Côte d'Ivoire","Africa","Côte d'Ivoire","CI","CIV",384,5.2259,-3.7537,"CDP Disclosure"
"115",35863,"eThekwini Municipality","Durban","POINT (31.0218 -29.8587)","South Africa","Africa","South Africa","ZA","ZAF",710,-29.8587,31.0218,"CDP Disclosure"
"116",36274,"Comune di Bologna","Bologna","POINT (11.3387 44.4938)","Italy","Europe","Italy","IT","ITA",380,44.4938,11.3387,"CDP Disclosure"
"117",52894,"City of Winston-Salem","Winston-Salem","POINT (-80.2442 36.0999)","United States of America","North America","United States Of America","US","USA",840,36.0999,-80.2442,"CDP Disclosure"
"118",54402,"City of Lahti","Lahti","POINT (25.65 60.9833)","Finland","Europe","Finland","FI","FIN",246,60.9833,25.65,"CDP Disclosure"
"119",31109,"City of Melbourne","City of Melbourne","POINT (144.963 -37.8141)","Australia","Southeast Asia and Oceania","Australia","AU","AUS",36,-37.8141,144.963,"CDP Disclosure"
"120",50578,"City of Windsor","Windsor","POINT (-83.0364 42.3149)","Canada","North America","Canada","CA","CAN",124,42.3149,-83.0364,"CDP Disclosure"
"121",35857,"City of Cincinnati","Cincinnati","POINT (-84.512 39.1031)","United States of America","North America","United States Of America","US","USA",840,39.1031,-84.512,"CDP Disclosure"
"122",31172,"Mexico City","Mexico City","POINT (-99.1332 19.4326)","Mexico","Latin America","Mexico","MX","MEX",484,19.4326,-99.1332,"CDP Disclosure"
"123",54697,"Prefeitura Municipal de Cerquilho","Cerquilho","POINT (-47.7463 -23.167)","Brazil","Latin America","Brazil","BR","BRA",76,-23.167,-47.7463,"CDP Disclosure"
"124",31176,"Prefeitura do Rio de Janeiro","Rio de Janeiro","POINT (-43.5614 -22.9054)","Brazil","Latin America","Brazil","BR","BRA",76,-22.9054,-43.5614,"CDP Disclosure"
"125",54682,"Prefeitura Municipal de Petrolina","Petrolina","POINT (-40.5079 -9.3835)","Brazil","Latin America","Brazil","BR","BRA",76,-9.3835,-40.5079,"CDP Disclosure"
"126",50579,"City of Winnipeg","Winnipeg","POINT (-97.1375 49.8997)","Canada","North America","Canada","CA","CAN",124,49.8997,-97.1375,"CDP Disclosure"
"127",54498,"Ayuntamiento de Murcia","Murcia","POINT (-1.00495 37.799)","Spain","Europe","Spain","ES","ESP",724,37.799,-1.00495,"CDP Disclosure"
"128",3417,"New York City","New York City","POINT (-74.0059 40.7128)","United States of America","North America","United States Of America","US","USA",840,40.7128,-74.0059,"CDP Disclosure"
"129",50394,"Prefeitura Municipal de João Pessoa","João Pessoa","POINT (-34.8639 -7.16882)","Brazil","Latin America","Brazil","BR","BRA",76,-7.16882,-34.8639,"CDP Disclosure"
"130",43934,"City of Perth","Perth","POINT (115.861 -31.9526)","Australia","Southeast Asia and Oceania","Australia","AU","AUS",36,-31.9526,115.861,"CDP Disclosure"
"131",74504,"City of Ramsey, MN","Ramsey","POINT (-93.45 45.2611)","United States of America","North America","United States Of America","US","USA",840,45.2611,-93.45,"CDP Disclosure"
"132",43938,"The Executive Council, Govt of Dubai","Dubai","POINT (55.2708 25.2048)","United Arab Emirates","Middle East","United Arab Emirates","AE","ARE",784,25.2048,55.2708,"CDP Disclosure"
"133",50565,"City of Toledo","Toledo","POINT (-83.5552 41.6639)","United States of America","North America","United States Of America","US","USA",840,41.6639,-83.5552,"CDP Disclosure"
"134",60318,"Prefeitura de Porto Velho","Porto Velho","POINT (-40.3776 -20.3338)","Brazil","Latin America","Brazil","BR","BRA",76,-20.3338,-40.3776,"CDP Disclosure"
"135",58424,"Gdansk","Gdansk","POINT (18.6466 54.352)","Poland","Europe","Poland","PL","POL",616,54.352,18.6466,"CDP Disclosure"
"136",54615,"Prefeitura da Estância Turística de São Roque","São Roque","POINT (-47.1294 -23.5428)","Brazil","Latin America","Brazil","BR","BRA",76,-23.5428,-47.1294,"CDP Disclosure"
"137",58489,"Hoeje-Taastrup Kommune","Hoeje-Taastrup","POINT (12.2898 55.6563)","Denmark","Europe","Denmark","DK","DNK",208,55.6563,12.2898,"CDP Disclosure"
"138",54510,"Umeå municipality","Umeå","POINT (20.263 63.8258)","Sweden","Europe","Sweden","SE","SWE",752,63.8258,20.263,"CDP Disclosure"
"139",60413,"Municipalidad de La Serena","La Serena","POINT (-68.8342 -32.9199)","Chile","Latin America","Chile","CL","CHL",152,NA,NA,NA
"140",50357,"Ciudad de Mendoza","Mendoza","POINT (-68.8458 -32.8894)","Argentina","Latin America","Argentina","AR","ARG",32,-32.8894,-68.8458,"CDP Disclosure"
"141",54405,"Vejle Kommune","Vejle","POINT (9.5364 55.7113)","Denmark","Europe","Denmark","DK","DNK",208,55.7113,9.5364,"CDP Disclosure"
"142",59124,"City of Natchez, MS","Natchez","POINT (-91.4032 31.5604)","United States of America","North America","United States Of America","US","USA",840,31.5604,-91.4032,"CDP Disclosure"
"143",831823,"Comune di Massa Marittima","Massa Marittima","POINT (10.8939 43.05)","Italy","Europe","Italy","IT","ITA",380,43.05,10.8939,"CDP Disclosure"
"144",50562,"City of Chula Vista","Chula Vista","POINT (-117.084 32.64)","United States of America","North America","United States Of America","US","USA",840,32.64,-117.084,"CDP Disclosure"
"145",31446,"Taipei City Government","Taipei","POINT (121.564 25.0375)","Taiwan, Greater China","East Asia","Taiwan","TW","TWN",158,25.0375,121.564,"CDP Disclosure"
"146",60127,"Municipality of Thessaloniki","Thessaloniki","POINT (23.0634 40.7505)","Greece","Europe","Greece","GR","GRC",300,40.7505,23.0634,"CDP Disclosure"
"147",60233,"Pärnu City Government","Pärnu","POINT (24.4966 58.3858)","Estonia","Europe","Estonia","EE","EST",233,58.3858,24.4966,"CDP Disclosure"
"148",36041,"Municipality of Belém","Belém","POINT (28.3111 -28.2423)","Brazil","Latin America","Brazil","BR","BRA",76,-1.27,-4.28,"World Cities dataset"
"149",14088,"City of Oslo","Oslo","POINT (10.7522 59.9139)","Norway","Europe","Norway","NO","NOR",578,59.9139,10.7522,"CDP Disclosure"
"150",63615,"Hillerød Kommune","Hillerød","POINT (12.2349 55.931)","Denmark","Europe","Denmark","DK","DNK",208,55.931,12.2349,"CDP Disclosure"
"151",54579,"Sekhukhune District Municipality","Sekhukhune District Municipality","POINT (29.974 -24.8335)","South Africa","Africa","South Africa","ZA","ZAF",710,-24.8335,29.974,"CDP Disclosure"
"152",50370,"Municipalidad de Tampico","Tampico","POINT (-99.0173 19.3599)","Mexico","Latin America","Mexico","MX","MEX",484,19.3599,-99.0173,"CDP Disclosure"
"153",54488,"Trondheim Municipality","Trondheim","POINT (10.395 63.4305)","Norway","Europe","Norway","NO","NOR",578,63.4305,10.395,"CDP Disclosure"
"154",60399,"Municipalidad de Miraflores","Miraflores","POINT (-71.5366 -16.3994)","Peru","Latin America","Peru","PE","PER",604,-16.3994,-71.5366,"CDP Disclosure"
"155",54692,"Prefeitura Municipal de Sertãozinho","Sertãozinho","POINT (-47.9947 -21.1451)","Brazil","Latin America","Brazil","BR","BRA",76,-21.1451,-47.9947,"CDP Disclosure"
"156",831812,"Municipalidad de Puerto Barrios","Puerto Barrios","POINT (15.7278 -88.5944)","Guatemala","Latin America","Guatemala","GT","GTM",320,15.73,-88.6,"World Cities dataset"
"157",58482,"Ville de Laval","Laval","POINT (-73.7126 45.6207)","Canada","North America","Canada","CA","CAN",124,45.6207,-73.7126,"CDP Disclosure"
"158",31113,"City of Yokohama","Yokohama","POINT (139.638 35.4437)","Japan","East Asia","Japan","JP","JPN",392,35.4437,139.638,"CDP Disclosure"
"159",60274,"Prefeitura de Cruzeiro do Sul","Cruzeiro do Sul","POINT (-72.6761 -7.62799)","Brazil","Latin America","Brazil","BR","BRA",76,-7.62799,-72.6761,"CDP Disclosure"
"160",54253,"Wollongong City Council","Wollongong","POINT (150.893 -34.4278)","Australia","Southeast Asia and Oceania","Australia","AU","AUS",36,-34.4278,150.893,"CDP Disclosure"
"161",54443,"Landeshauptstadt Magdeburg","Magdeburg","POINT (11.6276 52.1205)","Germany","Europe","Germany","DE","DEU",276,52.1205,11.6276,"CDP Disclosure"
"162",826396,"Munícipio de Sintra","Sintra","POINT (-9.38811 38.7984)","Portugal","Europe","Portugal","PT","PRT",620,38.7984,-9.38811,"CDP Disclosure"
"163",50395,"Prefeitura de São Luís","São Luís","POINT (-38.057 -6.5344)","Brazil","Latin America","Brazil","BR","BRA",76,-6.5344,-38.057,"CDP Disclosure"
"164",35872,"Municipality of Recife","Recife","POINT (-34.8829 -8.05783)","Brazil","Latin America","Brazil","BR","BRA",76,-8.05783,-34.8829,"CDP Disclosure"
